org_land_use,org_name,category_outside_buildings,confidence,rationale
1110,官公庁施設,駐車場等の不浸透面,low,宅地系。敷地内の建物外（通路・駐車場・植栽）は舗装が多いと仮定
1121,教育文化施設_教育施設,緑地,low,校庭は土・人工芝が多いと仮定。舗装校庭もあり個別確認が必要
1122,教育文化施設_文化施設,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定
1123,教育文化施設_宗教施設,緑地,low,境内・墓地は土・植栽が多いと仮定
1131,厚生医療施設_医療施設,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定
1132,厚生医療施設_厚生施設,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定
1141,供給処理施設_供給施設,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定
1142,供給処理施設_処理施設,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定
1210,事務所建築物,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定
1221,専用商業施設_商業施設,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定
1222,専用商業施設_公衆浴場等,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定
1230,住商併用建物,駐車場等の不浸透面,low,宅地系。密集市街地の建物外（通路・駐車・庭）は舗装が多いと仮定
1241,宿泊・遊興施設_宿泊施設,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定
1242,宿泊・遊興施設_遊興施設,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定
1251,スポーツ・興行施設_スポーツ施設,駐車場等の不浸透面,low,屋外運動場は土・人工芝の場合がある。個別確認が必要
1252,スポーツ・興行施設_興行施設,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定
1310,独立住宅,駐車場等の不浸透面,low,宅地系。庭・植栽を含むが、密集住宅地の建物外は駐車・通路の舗装が多いと仮定。フェーズ1の感度分析の主対象
1320,集合住宅,駐車場等の不浸透面,low,宅地系。建物外は駐車・通路の舗装が多いと仮定。フェーズ1の感度分析の主対象
1410,専用工場,駐車場等の不浸透面,medium,工場敷地の建物外は舗装が大半
1420,住居併用工場,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定
1431,倉庫運輸関係施設_運輸施設等,駐車場等の不浸透面,medium,車両の出入りがあり舗装が大半
1432,倉庫運輸関係施設_倉庫施設等,駐車場等の不浸透面,medium,車両の出入りがあり舗装が大半
1500,農林漁業施設,緑地,low,周辺が農地の場合が多い。対象範囲内には無い
2101,屋外利用地・仮設建物_太陽光発電,駐車場等の不浸透面,low,パネル面は流出するが地表は浸透する場合がある。対象範囲内には無い
2102,屋外利用地・仮設建物_屋外駐車場,駐車場等の不浸透面,medium,平面駐車場。砂利敷きの場合は浸透する
2103,屋外利用地・仮設建物_その他,駐車場等の不浸透面,low,資材置場・仮設建物等。舗装状況は不明
2200,その他,水面・その他,low,内容不明。対象範囲内には無い
3001,公園、運動場等_ゴルフ場,緑地,high,芝地
3002,公園、運動場等_その他,緑地,medium,公園・運動場・墓園。広場の舗装部分を含む
4000,未利用地等,緑地,low,空地・空家等。土・雑草地が多いと仮定。舗装された跡地もあり得る
5100,道路,道路・舗装,high,道路用地。街路樹帯等を含む
5200,鉄道・港湾等,水面・その他,low,砕石軌道は一部浸透、高架・地下区間は流出特性が異なる。フェーズ1で個別に係数を設定
6110,田,緑地,high,農地
6120,畑,緑地,high,農地
6130,樹園地,緑地,high,農地
6200,採草放牧地,緑地,high,農地
7000,水面・河川・水路,水面・その他,high,水面
8000,原野,緑地,high,自然地
9000,森林,緑地,high,自然地
0,不明,水面・その他,low,分類不明。面積を記録して個別確認する
90,不整合,水面・その他,low,分類不整合。面積を記録して個別確認する
